"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id"
"1","GO201_1665","GO201_162","Babylon","2","0","0"
"1","GO201_1665","GO201_163","Penn Station","3","1","1"
"1","GO201_1665","GO201_164","Babylon","4","0","0"
"1","GO201_1665","GO201_165","Penn Station","5","1","1"
"1","GO201_1665","GO201_166","Babylon","6","0","0"
"1","GO201_1665","GO201_167","Penn Station","7","1","1"
"1","GO201_1665","GO201_168","Babylon","8","0","0"
"1","GO201_1665","GO201_169","Penn Station","9","1","1"
"1","GO201_1665","GO201_1611","Penn Station","11","1","2"
"1","GO201_1665","GO201_1612","Babylon","12","0","0"
"1","GO201_1665","GO201_1613","Penn Station","13","1","1"
"1","GO201_1665","GO201_1614","Babylon","14","0","0"
"1","GO201_1665","GO201_1615","Atlantic Terminal","15","1","3"
"1","GO201_1665","GO201_1616","Babylon","16","0","0"
"1","GO201_1665","GO201_1617","Penn Station","17","1","1"
"1","GO201_1665","GO201_1618","Babylon","18","0","0"
"1","GO201_1665","GO201_1619","Penn Station","19","1","1"
"1","GO201_1665","GO201_1622","Babylon","22","0","0"
"1","GO201_1665","GO201_1624","Babylon","24","0","0"
"1","GO201_1665","GO201_1625","Penn Station","25","1","1"
"1","GO201_1665","GO201_1627","Atlantic Terminal","27","1","3"
"1","GO201_1665","GO201_1628","Babylon","28","0","0"
"1","GO201_1665","GO201_1629","Penn Station","29","1","1"
"1","GO201_1665","GO201_1631","Penn Station","31","1","1"
"1","GO201_1665","GO201_1632","Babylon","32","0","0"
"1","GO201_1665","GO201_1633","Atlantic Terminal","33","1","3"
"1","GO201_1665","GO201_1634","Babylon","34","0","0"
"1","GO201_1665","GO201_1635","Penn Station","35","1","1"
"1","GO201_1665","GO201_1636","Babylon","36","0","0"
"1","GO201_1665","GO201_1638","Babylon","38","0","0"
"1","GO201_1665","GO201_1639","Atlantic Terminal","39","1","3"
"1","GO201_1665","GO201_1642","Babylon","42","0","0"
"1","GO201_1665","GO201_1643","Penn Station","43","1","1"
"1","GO201_1665","GO201_1644","Babylon","44","0","0"
"1","GO201_1665","GO201_1645","Penn Station","45","1","1"
"1","GO201_1665","GO201_1646","Babylon","46","0","0"
"1","GO201_1665","GO201_1647","Penn Station","47","1","1"
"1","GO201_1665","GO201_1648","Babylon","48","0","0"
"1","GO201_1665","GO201_1649","Penn Station","49","1","1"
"1","GO201_1665","GO201_1651","Penn Station","51","1","1"
"1","GO201_1665","GO201_1652","Babylon","52","0","0"
"1","GO201_1665","GO201_1653","Penn Station","53","1","1"
"1","GO201_1665","GO201_1655","Penn Station","55","1","1"
"1","GO201_1665","GO201_1657","Penn Station","57","1","1"
"1","GO201_1665","GO201_1659","Penn Station","59","1","1"
"1","GO201_1665","GO201_1661","Penn Station","61","1","1"
"1","GO201_1665","GO201_1663","Penn Station","63","1","1"
"1","GO201_1665","GO201_1665","Penn Station","65","1","1"
"1","GO201_1665","GO201_1667","Penn Station","67","1","1"
"1","GO201_1665","GO201_1669","Penn Station","69","1","1"
"1","GO201_1665","GO201_16102","Babylon","102","0","0"
"1","GO201_1665","GO201_16103","Penn Station","103","1","1"
"1","GO201_1665","GO201_16104","Babylon","104","0","0"
"1","GO201_1665","GO201_16105","Penn Station","105","1","1"
"1","GO201_1665","GO201_16107","Penn Station","107","1","1"
